epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.849,1.29864,3.47773,1.07521,0.0226,0.88125,0.04351,0.02652,1.10318,3.27638,0.93584,0.00054,0.00018,0.00054,0.00018,0.00054,0.00018,0.00054,0.00018
2,86.9618,1.07925,3.33643,0.99445,0.02327,0.9125,0.06126,0.03923,0.97749,3.24438,0.90066,0.00112871,0.000376238,0.00112871,0.000376238,0.00112871,0.000376238,0.00112871,0.000376238
3,118.132,0.97046,3.09923,0.94614,0.02431,0.93125,0.08667,0.05614,0.95018,3.20271,0.8878,0.00170555,0.000568516,0.00170555,0.000568516,0.00170555,0.000568516,0.00170555,0.000568516
4,146.364,0.93531,2.6311,0.91924,0.02569,1,0.10972,0.07508,0.92722,3.05783,0.86883,0.0022705,0.000756834,0.0022705,0.000756834,0.0022705,0.000756834,0.0022705,0.000756834
5,173.139,0.8979,1.75005,0.91563,0.02295,1,0.35774,0.25826,0.95367,2.66572,0.88263,0.00282358,0.000941192,0.00282358,0.000941192,0.00282358,0.000941192,0.00282358,0.000941192
6,196.486,0.84659,0.92273,0.91329,1,0.69692,0.9678,0.70839,0.98082,1.80357,0.92003,0.00336477,0.00112159,0.00336477,0.00112159,0.00336477,0.00112159,0.00336477,0.00112159
7,215.723,0.7973,0.68078,0.89889,0.98891,0.95,0.98873,0.72554,1.0036,1.16297,0.93769,0.00389408,0.00129803,0.00389408,0.00129803,0.00389408,0.00129803,0.00389408,0.00129803
8,234.966,0.74954,0.63077,0.88542,0.99111,0.96875,0.99259,0.72573,0.99524,0.85814,0.93775,0.00441152,0.00147051,0.00441152,0.00147051,0.00441152,0.00147051,0.00441152,0.00147051
9,253.984,0.68775,0.60439,0.86937,0.98739,0.97904,0.99334,0.72313,0.99659,0.73944,0.93582,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902,0.00491707,0.00163902
10,273.928,0.66445,0.58205,0.86043,0.98737,0.97714,0.99398,0.72291,0.99811,0.67461,0.92776,0.00541075,0.00180358,0.00541075,0.00180358,0.00541075,0.00180358,0.00541075,0.00180358
11,289.093,0.62814,0.54557,0.84864,0.99746,0.96875,0.99393,0.72531,0.98845,0.65872,0.92506,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,308.411,0.59635,0.53202,0.8398,0.98741,0.98047,0.99383,0.72542,0.99133,0.65518,0.92475,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,323.085,0.56784,0.5194,0.8319,1,0.96762,0.99384,0.72704,0.99904,0.64275,0.92402,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,342.025,0.54908,0.51674,0.8274,0.99783,0.96875,0.99377,0.70841,1.00415,0.63221,0.92597,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,357.398,0.51648,0.51568,0.81848,0.98622,0.9875,0.99395,0.71194,1.01513,0.63031,0.9289,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,376.335,0.49428,0.50471,0.81489,0.9917,0.9875,0.99434,0.72873,0.98899,0.61211,0.93031,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,391.364,0.47203,0.48655,0.81035,0.99419,0.9875,0.99435,0.72285,0.99319,0.60961,0.93246,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,411.068,0.44665,0.46735,0.80586,1,0.98639,0.9943,0.72135,1.02542,0.6048,0.94059,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,426.717,0.42701,0.44989,0.80219,1,0.98628,0.99424,0.72919,1.0145,0.60226,0.93934,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,445.683,0.41284,0.43869,0.79913,0.99262,0.9875,0.99452,0.72766,1.00011,0.59881,0.94107,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,464.589,0.39195,0.42616,0.79574,0.99223,0.9875,0.99416,0.73088,0.99006,0.5937,0.94061,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,484.685,0.37304,0.4152,0.79276,0.99995,0.9875,0.99452,0.73068,1.01176,0.58784,0.94165,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,499.475,0.36403,0.4089,0.79062,0.99939,0.9875,0.99452,0.73002,1.00486,0.58654,0.93989,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,518.157,0.33951,0.39606,0.78773,0.99907,0.9875,0.99464,0.7281,0.9921,0.57391,0.938,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,532.932,0.34477,0.39614,0.78674,0.99879,0.9875,0.99458,0.72834,0.99159,0.57227,0.93806,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,551.971,0.32902,0.38804,0.78385,0.99816,0.9875,0.9947,0.73324,1.00944,0.56341,0.94174,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,566.952,0.29886,0.37357,0.78169,0.99777,0.9875,0.9947,0.73302,1.01223,0.55763,0.94412,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,585.718,0.31948,0.37524,0.78177,0.9988,0.9875,0.99458,0.73082,0.98748,0.54347,0.93763,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,600.566,0.28577,0.36438,0.77859,0.9989,0.9875,0.99458,0.73261,0.99329,0.54462,0.94042,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,619.392,0.28963,0.36181,0.77803,0.99886,0.9875,0.99452,0.72868,1.00898,0.53946,0.94267,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,634.203,0.29402,0.35381,0.7787,0.99914,0.9875,0.99452,0.73504,1.00363,0.54516,0.94106,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,652.932,0.28122,0.34917,0.77672,0.99947,0.9875,0.99446,0.73421,0.9839,0.52849,0.93738,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,667.999,0.26881,0.3396,0.77579,0.99963,0.9875,0.99458,0.73091,0.98655,0.52369,0.93948,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,686.602,0.2678,0.33269,0.77573,1,0.98717,0.99452,0.73216,0.99193,0.52682,0.93996,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,701.361,0.25264,0.31977,0.77422,1,0.9869,0.99464,0.7357,0.98964,0.52532,0.93998,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,720.203,0.25451,0.31812,0.77435,0.99371,0.98702,0.99377,0.73682,0.98319,0.52077,0.93882,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,735.348,0.24398,0.31453,0.77297,0.99371,0.98729,0.99384,0.73436,0.98153,0.51391,0.93874,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,754.469,0.25415,0.31058,0.77362,1,0.98689,0.99458,0.73501,0.99371,0.52071,0.94114,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,771.08,0.24117,0.30275,0.77231,1,0.98709,0.99458,0.73323,0.9952,0.51502,0.94272,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,792.914,0.23469,0.29999,0.77179,0.99371,0.98738,0.99371,0.7335,0.9838,0.51547,0.94066,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,810.168,0.2274,0.29165,0.77089,1,0.98677,0.99446,0.73579,0.98001,0.51373,0.94015,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,831.599,0.22038,0.28957,0.7706,1,0.98537,0.99452,0.73123,0.98457,0.51323,0.93922,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,848.742,0.20991,0.28164,0.76982,0.99915,0.98125,0.99452,0.73138,0.98294,0.5153,0.939,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,870.078,0.20725,0.27794,0.76985,0.99911,0.98125,0.99464,0.73112,0.98259,0.51441,0.93939,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,887.643,0.19907,0.27502,0.76883,0.99909,0.98125,0.9947,0.73104,0.97627,0.51244,0.93792,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,909.031,0.21855,0.27533,0.76998,0.99891,0.98125,0.9947,0.73457,0.97776,0.51025,0.93712,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,926.266,0.20209,0.26626,0.76875,0.99896,0.98125,0.9947,0.73663,0.97274,0.50799,0.93597,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,947.333,0.19906,0.26629,0.76878,0.99255,0.9875,0.99464,0.74023,0.96736,0.50436,0.93658,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,964.318,0.19381,0.25995,0.76834,0.99306,0.9875,0.99464,0.73448,0.96934,0.50856,0.93639,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,986.098,0.1927,0.26204,0.76801,0.99315,0.9875,0.9947,0.73665,0.98325,0.51234,0.94065,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1003.14,0.19118,0.25946,0.76809,0.99341,0.9875,0.9947,0.73514,0.98285,0.50901,0.94103,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1024.4,0.17908,0.25202,0.7676,1,0.98742,0.9947,0.73807,0.97408,0.50967,0.93679,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1041.54,0.18626,0.24823,0.76787,0.99317,0.9875,0.99464,0.73815,0.97222,0.50714,0.93717,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1062.59,0.17455,0.24447,0.76718,0.98749,0.98664,0.994,0.73418,0.97943,0.50906,0.93986,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1079.39,0.1834,0.24558,0.76749,0.99371,0.98669,0.9947,0.73751,0.97893,0.50574,0.93944,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1101.04,0.16098,0.23549,0.76637,0.9875,0.98731,0.99413,0.73479,0.97056,0.50059,0.93718,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1118.43,0.17265,0.23692,0.7669,0.98749,0.98702,0.99406,0.73986,0.96864,0.5007,0.93712,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1140.02,0.16513,0.23312,0.76686,0.9872,0.9875,0.99418,0.73301,0.98152,0.50674,0.94258,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1157.4,0.16579,0.23362,0.76667,0.98685,0.9875,0.99412,0.73481,0.97577,0.49973,0.94124,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1178.81,0.15918,0.23033,0.76605,0.98691,0.9875,0.99375,0.74242,0.97719,0.50042,0.93885,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1195.98,0.15748,0.22589,0.76612,0.9868,0.9875,0.99369,0.7436,0.97291,0.49894,0.93791,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,1217.53,0.15535,0.22695,0.76588,0.99306,0.9875,0.9947,0.73865,0.98494,0.50768,0.94104,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,1234.73,0.14974,0.22305,0.76557,0.99312,0.9875,0.9947,0.74042,0.98297,0.50933,0.94028,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,1256.45,0.14777,0.21766,0.76577,0.9932,0.9875,0.99464,0.73498,0.97434,0.50319,0.93867,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,1273.59,0.13683,0.21333,0.765,0.99319,0.9875,0.99464,0.74025,0.97229,0.50326,0.93719,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,1294.53,0.13835,0.21232,0.76504,0.99314,0.9875,0.99464,0.74018,0.98271,0.50765,0.93966,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,1311.47,0.13704,0.20732,0.76518,0.99311,0.9875,0.99458,0.73938,0.9793,0.5124,0.93954,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,1332.5,0.13505,0.20625,0.76477,0.98692,0.9875,0.99446,0.73853,0.96635,0.50924,0.93764,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,1349.73,0.13452,0.20357,0.76469,0.99348,0.9875,0.99458,0.73933,0.97311,0.51692,0.93881,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1371.88,0.13404,0.20345,0.76464,0.9875,0.98745,0.99452,0.73906,0.96979,0.50862,0.93848,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,1389.13,0.12908,0.20244,0.76458,0.98737,0.9875,0.99452,0.73996,0.96694,0.51116,0.93765,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1410.67,0.12986,0.20199,0.76448,0.98717,0.9875,0.99452,0.73696,0.97244,0.51226,0.93827,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1427.42,0.13321,0.20018,0.7646,0.98716,0.9875,0.99446,0.7393,0.97045,0.50716,0.93815,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1448.92,0.12957,0.19945,0.76423,0.9872,0.9875,0.99446,0.73965,0.966,0.50754,0.9371,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1466,0.12977,0.19684,0.76418,0.98725,0.9875,0.99446,0.73908,0.97048,0.507,0.93806,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1487.45,0.11904,0.19504,0.76386,0.98715,0.9875,0.99446,0.73662,0.9732,0.50635,0.93986,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1504.63,0.11563,0.19185,0.76373,0.98729,0.9875,0.99452,0.73656,0.97129,0.51088,0.93937,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1526.03,0.11589,0.19141,0.76398,0.98716,0.9875,0.99452,0.74154,0.96729,0.50845,0.93693,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1543.1,0.11151,0.18737,0.76365,0.98704,0.9875,0.99458,0.74339,0.96644,0.5095,0.93737,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1564.36,0.10697,0.18457,0.76339,0.98688,0.9875,0.99458,0.73908,0.9679,0.50677,0.9382,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1581.94,0.11067,0.18595,0.76355,0.98688,0.9875,0.99458,0.73684,0.96786,0.5096,0.9376,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1603.48,0.10931,0.18655,0.76342,0.98685,0.9875,0.99452,0.74111,0.9664,0.51317,0.93781,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1620.84,0.10932,0.18099,0.76351,0.98688,0.9875,0.99458,0.74059,0.9646,0.51069,0.93746,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,1642.44,0.10795,0.18061,0.76341,0.98712,0.9875,0.99458,0.74015,0.96714,0.51475,0.93866,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,1659.38,0.10252,0.17717,0.76324,0.98691,0.9875,0.99464,0.7414,0.9674,0.51391,0.93916,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,1680.63,0.10503,0.17772,0.76323,0.98687,0.9875,0.99458,0.73736,0.9675,0.51453,0.93921,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,1697.61,0.10344,0.1758,0.76297,0.98709,0.9875,0.99464,0.73933,0.96938,0.51719,0.93961,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,1719.16,0.0979,0.17251,0.76303,0.98725,0.9875,0.99464,0.74187,0.97028,0.52184,0.94085,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1736.27,0.09884,0.17311,0.76311,0.98739,0.9875,0.9947,0.73888,0.97096,0.52019,0.94113,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
